iter	Logloss
0	0.6921254568
1	0.6911194012
2	0.6901474427
3	0.6892757508
4	0.6884091186
5	0.6876274013
6	0.6868724336
7	0.6861835158
8	0.6855966729
9	0.6849831336
10	0.6844429637
11	0.6838381084
12	0.6833569488
13	0.6829047596
14	0.6824605523
15	0.6820543425
16	0.6816584774
17	0.6813256754
18	0.6809548888
19	0.6806269135
20	0.6802120113
21	0.6799505948
22	0.6796343721
23	0.679339528
24	0.6791075194
25	0.6788322619
26	0.6786194858
27	0.6784053168
28	0.6782000538
29	0.6779729014
30	0.6777885613
31	0.6776134784
32	0.6774427588
33	0.6772689759
34	0.6771083478
35	0.6769727757
36	0.6768507612
37	0.676701673
38	0.6765433578
39	0.6763999916
40	0.6762470176
41	0.6761352929
42	0.6760302295
43	0.6759120532
44	0.6758263294
45	0.6757204416
46	0.675615867
47	0.675506169
48	0.6753812085
49	0.6752711995
50	0.6751903179
51	0.6750965281
52	0.6750019803
53	0.6749295379
54	0.6747831299
55	0.6747237182
56	0.6746542576
57	0.6745992133
58	0.6745183527
59	0.6744432393
60	0.6743779129
61	0.6743027017
62	0.6742408601
63	0.6741874979
64	0.6741295101
65	0.6740819307
66	0.6740403628
67	0.6739801467
68	0.6739275962
69	0.6738739357
70	0.673820736
71	0.6737873105
72	0.6737435285
73	0.6737078625
74	0.673668813
75	0.6736171481
76	0.6735405766
77	0.6734818538
78	0.6734376552
79	0.673390631
80	0.6733535446
81	0.6733065316
82	0.6732663046
83	0.6732177856
84	0.6731862212
85	0.6731528528
86	0.6731207935
87	0.6730739211
88	0.6730450245
89	0.673019679
90	0.6729960853
91	0.6729543749
92	0.6729355296
93	0.6728965867
94	0.6728645047
95	0.672837979
96	0.6728043782
97	0.6727676754
98	0.6727336204
99	0.6727109383
100	0.6726906934
101	0.6726566465
102	0.6726253102
103	0.6726045662
104	0.6725730767
105	0.6725260542
106	0.6724968269
107	0.6724790578
108	0.6724504658
109	0.6724216133
110	0.6723981116
111	0.6723653282
112	0.6723178578
113	0.6722939158
114	0.6722639784
115	0.6722381355
116	0.6722093817
117	0.6721879805
118	0.6721690297
119	0.6721500135
120	0.6721154846
121	0.6720925393
122	0.6720709981
123	0.6720479336
124	0.6720225788
125	0.6719982922
126	0.6719748394
127	0.6719529471
128	0.6719285711
129	0.6719109008
130	0.6718898368
131	0.6718691954
132	0.671847237
133	0.6718278998
134	0.6718104486
135	0.6717982675
136	0.6717824511
137	0.6717590756
138	0.6717313583
139	0.6717128046
140	0.6716717158
141	0.6716564423
142	0.6716336751
143	0.6716168336
144	0.6715956637
145	0.6715734334
146	0.6715561986
147	0.6715419987
148	0.6715210952
149	0.6715015791
150	0.6714897247
151	0.6714715237
152	0.6714589788
153	0.6714424134
154	0.6714205446
155	0.6713929277
156	0.6713733834
157	0.6713594034
158	0.6713431076
159	0.6713279485
160	0.671299753
161	0.6712867602
162	0.6712689512
163	0.6712586288
164	0.671245018
165	0.671223023
166	0.6712074158
167	0.6712015501
168	0.671187175
169	0.6711777203
170	0.6711608611
171	0.6711479808
172	0.6711160297
173	0.6710919694
174	0.6710777094
175	0.6710542224
176	0.6710398031
177	0.6710232811
178	0.6710137725
179	0.6709996447
180	0.6709770546
181	0.6709645334
182	0.6709476885
183	0.6709294345
184	0.6709142093
185	0.6709023547
186	0.6708907717
187	0.6708782476
188	0.6708620569
189	0.6708430732
190	0.6708255204
191	0.6708137653
192	0.6708020631
193	0.6707844294
194	0.670766096
195	0.6707564099
196	0.670743619
197	0.6707325297
198	0.6707174565
199	0.6707057841
200	0.670692006
201	0.6706829985
202	0.6706688526
203	0.6706598133
204	0.6706484439
205	0.6706234419
206	0.6706105276
207	0.6705960768
208	0.6705770331
209	0.6705669794
210	0.6705421981
211	0.6705276051
212	0.6705097758
213	0.6704936585
214	0.6704803029
215	0.6704673293
216	0.6704490606
217	0.6704374212
218	0.67041927
219	0.6704006161
220	0.6703863827
221	0.6703791755
222	0.6703691775
223	0.6703567033
224	0.6703424339
225	0.6703279207
226	0.670316423
227	0.6703061705
228	0.6702876209
229	0.6702813002
230	0.6702698159
231	0.6702584472
232	0.6702473747
233	0.6702212986
234	0.6702072223
235	0.6701981964
236	0.6701843868
237	0.6701678339
238	0.6701590258
239	0.6701500685
240	0.6701347155
241	0.6701257722
242	0.6701152635
243	0.6701017139
244	0.6700885757
245	0.6700732418
246	0.6700630757
247	0.6700520465
248	0.6700386674
249	0.670024668
250	0.6700035675
251	0.6699889543
252	0.6699767055
253	0.6699629054
254	0.6699523086
255	0.6699298255
256	0.6699185539
257	0.6699069514
258	0.6698925604
259	0.6698809358
260	0.6698682095
261	0.6698576505
262	0.6698435487
263	0.6698291704
264	0.669811626
265	0.6697960918
266	0.669778885
267	0.6697603971
268	0.6697351488
269	0.6697116929
270	0.6696994615
271	0.6696843329
272	0.6696649627
273	0.6696477564
274	0.6696251354
275	0.6696109153
276	0.6695978009
277	0.6695827091
278	0.6695575225
279	0.6695434517
280	0.6695285967
281	0.6695059381
282	0.6694846777
283	0.6694636642
284	0.669447787
285	0.6694350338
286	0.6694234879
287	0.6694110164
288	0.6693988614
289	0.6693744486
290	0.6693565323
291	0.6693355476
292	0.6693207256
293	0.6692992069
294	0.6692824032
295	0.6692679018
296	0.6692449101
297	0.6692286565
298	0.669208459
299	0.6691903721
