iter	Passed	Remaining
0	17	5179
1	32	4806
2	47	4684
3	64	4771
4	80	4721
5	95	4658
6	109	4600
7	126	4613
8	142	4613
9	157	4579
10	174	4578
11	190	4581
12	207	4582
13	223	4572
14	238	4528
15	253	4497
16	271	4522
17	290	4554
18	307	4542
19	324	4548
20	343	4557
21	358	4532
22	374	4505
23	390	4489
24	405	4465
25	420	4436
26	436	4410
27	452	4400
28	468	4375
29	484	4360
30	499	4337
31	513	4301
32	529	4281
33	545	4266
34	560	4245
35	574	4210
36	589	4192
37	605	4172
38	621	4156
39	635	4129
40	651	4117
41	668	4103
42	685	4096
43	702	4084
44	719	4079
45	735	4060
46	752	4051
47	771	4048
48	788	4041
49	805	4028
50	822	4016
51	839	4002
52	853	3978
53	869	3958
54	883	3937
55	899	3917
56	915	3902
57	932	3891
58	948	3875
59	965	3861
60	982	3847
61	999	3837
62	1015	3818
63	1031	3803
64	1046	3784
65	1064	3772
66	1079	3755
67	1096	3739
68	1114	3731
69	1134	3727
70	1151	3713
71	1168	3701
72	1184	3684
73	1202	3673
74	1218	3656
75	1234	3637
76	1252	3626
77	1267	3607
78	1282	3588
79	1299	3573
80	1314	3552
81	1330	3536
82	1346	3520
83	1362	3503
84	1379	3488
85	1395	3471
86	1411	3454
87	1427	3438
88	1444	3423
89	1460	3408
90	1477	3392
91	1493	3376
92	1510	3361
93	1527	3347
94	1543	3330
95	1559	3314
96	1575	3297
97	1590	3279
98	1605	3259
99	1620	3241
100	1634	3220
101	1649	3202
102	1665	3185
103	1680	3166
104	1695	3149
105	1711	3132
106	1726	3114
107	1741	3096
108	1757	3079
109	1772	3062
110	1786	3042
111	1803	3027
112	1817	3008
113	1833	2991
114	1847	2972
115	1863	2955
116	1878	2937
117	1892	2918
118	1906	2899
119	1921	2882
120	1937	2866
121	1953	2850
122	1967	2831
123	1981	2812
124	1997	2796
125	2011	2778
126	2027	2762
127	2042	2744
128	2058	2728
129	2074	2713
130	2090	2696
131	2104	2679
132	2119	2661
133	2135	2645
134	2151	2629
135	2166	2612
136	2183	2597
137	2198	2581
138	2213	2564
139	2229	2548
140	2245	2531
141	2261	2516
142	2275	2498
143	2291	2482
144	2306	2465
145	2320	2447
146	2335	2431
147	2352	2415
148	2368	2400
149	2383	2383
150	2399	2367
151	2415	2351
152	2431	2336
153	2447	2320
154	2461	2302
155	2478	2288
156	2494	2272
157	2509	2255
158	2526	2240
159	2539	2222
160	2556	2207
161	2571	2190
162	2586	2174
163	2601	2157
164	2616	2141
165	2632	2125
166	2647	2108
167	2663	2092
168	2677	2075
169	2692	2058
170	2707	2042
171	2724	2027
172	2740	2011
173	2755	1995
174	2771	1979
175	2786	1962
176	2801	1946
177	2818	1931
178	2833	1915
179	2848	1898
180	2864	1883
181	2880	1867
182	2897	1852
183	2914	1837
184	2930	1821
185	2945	1805
186	2963	1790
187	2978	1774
188	2994	1758
189	3011	1743
190	3026	1727
191	3040	1710
192	3055	1694
193	3072	1678
194	3088	1663
195	3105	1647
196	3125	1634
197	3146	1620
198	3166	1606
199	3182	1591
200	3198	1575
201	3214	1559
202	3229	1542
203	3244	1526
204	3260	1511
205	3275	1494
206	3291	1478
207	3305	1462
208	3320	1445
209	3338	1430
210	3353	1414
211	3369	1398
212	3386	1383
213	3401	1367
214	3416	1350
215	3433	1335
216	3450	1319
217	3465	1303
218	3480	1287
219	3512	1277
220	3529	1261
221	3544	1245
222	3558	1228
223	3572	1212
224	3587	1195
225	3602	1179
226	3618	1163
227	3635	1147
228	3650	1131
229	3665	1115
230	3680	1099
231	3695	1083
232	3713	1067
233	3729	1051
234	3743	1035
235	3758	1019
236	3773	1003
237	3789	987
238	3804	970
239	3819	954
240	3834	938
241	3850	922
242	3865	906
243	3879	890
244	3894	874
245	3909	858
246	3924	842
247	3939	826
248	3955	810
249	3972	794
250	3987	778
251	4002	762
252	4017	746
253	4033	730
254	4048	714
255	4063	698
256	4076	682
257	4091	666
258	4107	650
259	4123	634
260	4138	618
261	4154	602
262	4170	586
263	4186	570
264	4200	554
265	4216	538
266	4233	523
267	4252	507
268	4269	492
269	4285	476
270	4302	460
271	4317	444
272	4335	428
273	4353	413
274	4370	397
275	4386	381
276	4404	365
277	4419	349
278	4435	333
279	4451	317
280	4468	302
281	4485	286
282	4502	270
283	4519	254
284	4535	238
285	4550	222
286	4565	206
287	4582	190
288	4598	175
289	4615	159
290	4632	143
291	4651	127
292	4668	111
293	4686	95
294	4702	79
295	4719	63
296	4734	47
297	4751	31
298	4767	15
299	4784	0
